Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,220.824997,222.324997,217.781250,218.356247,154.849518,2001624
2008-01-02,218.750000,219.918747,214.050003,218.537506,154.978073,6155056
2008-01-03,224.625000,224.625000,211.250000,213.631256,151.498764,12425960
2008-01-04,218.425003,218.425003,210.000000,211.862503,150.244461,6166320
2008-01-07,208.750000,211.250000,202.875000,204.606247,145.098587,13254200
2008-01-08,206.875000,209.987503,202.768753,207.781250,147.350174,15531264
2008-01-09,206.875000,212.375000,205.793747,206.618744,146.525772,14714680
2008-01-10,210.925003,211.250000,198.500000,200.318756,142.058060,15498280
2008-01-11,212.500000,217.406250,195.625000,197.718750,140.214264,22633144
2008-01-14,199.875000,201.250000,190.625000,191.187500,135.582611,16050824
2008-01-15,193.000000,194.362503,187.500000,187.762497,133.153671,12786224
2008-01-16,187.500000,189.875000,183.762497,186.912506,132.550919,11127096
2008-01-17,187.500000,190.656250,185.625000,186.300003,132.116531,9699600
2008-01-18,186.625000,187.250000,181.368744,183.550003,130.166336,8136992
2008-01-21,182.487503,186.250000,163.024994,173.887497,123.314064,22169536
2008-01-22,167.500000,180.500000,156.875000,172.612503,122.409882,27680552
2008-01-23,181.125000,182.324997,171.524994,177.750000,126.053185,17827184
2008-01-24,181.125000,187.875000,174.375000,177.818756,126.101959,13942864
2008-01-25,178.750000,192.350006,178.750000,189.981247,134.727127,6650192
2008-01-28,184.250000,187.500000,175.906250,180.793747,128.211731,7788688
2008-01-29,181.250000,188.718750,181.250000,186.574997,132.311508,9040664
2008-01-30,188.875000,188.875000,184.031250,186.656250,132.369171,7139816
2008-01-31,187.000000,191.862503,183.774994,187.381256,132.883316,17885296
2008-02-01,188.250000,201.000000,188.250000,199.324997,141.353363,11143960
2008-02-04,204.312500,208.118744,200.625000,205.006256,145.382278,11361168
2008-02-05,204.625000,204.625000,198.125000,201.162506,142.656418,8020712
2008-02-06,188.125000,196.862503,187.500000,188.743744,133.849548,9944016
2008-02-07,193.212494,193.212494,184.031250,185.293747,131.402924,4179600
